"";"OPK";"AVT";"GPN";"SDRL";"LEG";"ITC";"TEG";"IEX";"CSGP";"CSL"
"2013-01-07";5.31;30.36;45.82;32.82;25.48;25.84;48.82;46.68;90.83;58.38
"2013-01-08";5.3;30.12;45.94;32.62;25.55;25.49;48.81;46.43;90.68;57.97
"2013-01-09";5.18;30.26;48.72;32.63;25.63;25.34;48.63;46.71;90.4;58.23
"2013-01-10";5.31;30.69;48.96;33.09;25.92;25.34;49.06;46.11;90.11;58.21
"2013-01-11";5.38;31.06;48.88;33.01;26.03;25.36;49.22;46.2;90.3;58.75
"2013-01-14";5.71;30.95;49.28;33.34;26.08;25.27;49.13;46.53;90.36;58.72
"2013-01-15";5.71;31.3;49.7;32.63;26.21;25.34;49.17;46.81;90;59.13
"2013-01-16";6;30.98;49.37;32.66;26.13;24.69;48.83;47.04;89.28;59.55
"2013-01-17";6;31.42;49.51;33.07;26.59;24.8;49.35;48.08;89.85;59.91
"2013-01-18";6.05;31.38;49.93;33.51;26.55;25.13;49.56;48.19;89.85;60.11
"2013-01-22";6.34;31.71;50.08;33.34;26.83;25.62;49.9;47.65;91.46;60.96
"2013-01-23";6.32;31.48;49.43;33.78;27.19;25.4;49.74;47.69;92.02;61.15
"2013-01-24";5.89;33.66;49.53;33.48;27.36;25.5;49.85;48;92.64;61.51
"2013-01-25";6.2;34.7;49.73;34.05;27.49;25.62;49.85;48.21;92.27;62
"2013-01-28";6.6;34.62;49.6;33.79;27.46;25.59;49.77;47.82;95.53;61.93
"2013-01-29";6.75;34.63;49.33;34.28;27.62;25.7;49.98;48.3;94.17;62.44
"2013-01-30";6.47;34.51;49.13;34.29;27.62;25.76;50.09;48.11;93.31;62.42
"2013-01-31";6.42;34.6;49.12;34.38;27.37;26.07;49.92;48.38;93.78;62.49
"2013-02-01";6.73;35.22;49.11;34.31;27.49;26.48;50.62;48.89;95.59;63.59
"2013-02-04";6.99;34.75;48.66;33.68;27;26.15;50.3;48.49;93.34;63.4
"2013-02-05";6.98;35.78;49.46;33.53;27.52;26.3;50.39;47.48;96.2;62.99
"2013-02-06";6.89;35.62;49.71;33.34;27.36;26.57;50.7;47.15;96.82;63.13
"2013-02-07";6.81;35.57;49.42;33.15;27.66;26.27;50.82;47.2;95.89;63.15
"2013-02-08";6.49;35.61;49.79;33.27;27.65;26.21;50.88;47.65;96.22;65.64
"2013-02-11";6.72;35.45;49.78;33.21;27.5;26.29;51;47.44;95.99;65.12
"2013-02-12";6.66;35.62;49.43;32.95;27.8;26.33;51.31;48.17;96.45;65.38
"2013-02-13";6.73;35.55;49.68;32.88;28.12;26.19;51.12;48.58;96;65.92
"2013-02-14";6.81;35.54;49.79;33.07;28.45;26.01;51.12;48.79;95.99;65.94
"2013-02-15";6.73;35.4;50;32.75;28.55;26.08;51.26;48.92;96.14;66.42
"2013-02-19";6.78;35.56;50.87;32.79;28.5;26.27;51.64;49.4;97.29;67.14
"2013-02-20";6.63;35.11;50.17;32.15;27.82;26.31;51.55;48.8;96.18;65.65
"2013-02-21";6.68;34.58;49.19;31.55;27.58;26.12;51.44;48.12;95.9;65.28
"2013-02-22";7.03;34.87;49.56;31.79;27.69;26.43;51.7;48.69;96.4;66.13
"2013-02-25";7;33.68;48.76;31.31;27.14;26.25;51.03;47.4;97.34;64.48
"2013-02-26";7.15;34.07;48.96;31.64;27.56;26.55;51.44;48.14;96.03;65.07
"2013-02-27";7.03;34.43;49.08;31.91;28.29;26.95;52.1;49.19;97.42;66.44
"2013-02-28";6.94;34.55;48.09;31.78;28.43;27.33;52.27;49.39;100.74;66.31
"2013-03-01";6.99;33.76;47.91;32.06;28.52;27.16;51.84;49.24;103.41;66.17
"2013-03-04";7.16;33.41;48.1;31.91;28.71;27.65;52.02;48.89;103.17;66.29
"2013-03-05";7.3;34.2;48.25;32.56;29.25;28.08;52.79;49.88;104.32;66.63
"2013-03-06";7.32;34.88;47.38;32.18;29.26;27.72;52.28;49.67;103.89;66.69
"2013-03-07";7.39;35.46;47.17;32.22;29.39;27.65;51.83;49.78;102.75;66.64
"2013-03-08";7.48;35.47;47.24;32.41;29.65;27.8;51.93;50.32;103.08;67.74
"2013-03-11";7.48;35.36;47.52;32.22;30.04;27.86;52.06;50.52;102.16;68.14
"2013-03-12";7.49;35.3;47.99;32.32;30.24;27.73;51.8;50.38;101.06;67.58
"2013-03-13";7.51;35.38;48.53;31.98;30.32;28;52;50.57;100.54;68.02
"2013-03-14";7.54;36.07;48.55;32.17;30.47;27.92;52.03;51.16;99.79;68.25
"2013-03-15";7.83;35.65;47.81;32.56;30.23;27.85;51.74;50.74;102.11;67.91
"2013-03-18";7.61;35.39;47.14;32.62;30.34;27.7;51.58;51.15;102.18;68.26
"2013-03-19";7.52;35.34;47.27;31.89;30.5;27.63;51.83;51.12;101.33;67.8
"2013-03-20";7.56;35.8;47.65;31.71;31.04;27.77;52.8;52;103.2;66.93
"2013-03-21";7.35;35.37;48.16;31.66;30.61;27.9;52.35;51.6;104.64;66.21
"2013-03-22";7.63;34.92;48.33;31.72;30.81;27.94;52.39;51.95;105.26;66.49
"2013-03-25";7.64;34.46;48.78;31.78;30.78;28.22;52.25;51.38;106.61;65.97
"2013-03-26";7.65;34.55;49.28;31.73;31.12;28.46;52.63;51.42;109.04;65.93
"2013-03-27";7.62;34.78;49.31;32.16;31.27;28.52;53.03;51.38;108.67;65.63
"2013-03-28";7.63;35.42;49.54;32.24;31.69;28.86;53.74;51.8;109.46;66.23
"2013-04-01";7.55;34.63;49.02;31.97;31.42;28.94;53.75;50.89;107.73;65.91
"2013-04-02";7.4;34.29;48.89;31.59;31.46;29.05;53.9;50.54;107.25;65.38
"2013-04-03";7;33.55;44.41;31.25;30.5;28.84;53.97;49.74;106;64.25
"2013-04-04";7.29;33.38;44.58;30.87;30.61;29.04;54.6;50.24;107.64;64.44
"2013-04-05";7.17;32.77;44.33;31.21;30.61;29.22;54.84;49.95;107.74;64.47
"2013-04-08";7.22;33.21;45.09;31.38;31.16;29.68;55.29;50.45;108.92;64.83
"2013-04-09";6.95;33.22;45.44;31.61;30.86;29.7;54.86;50.39;108.64;64.57
"2013-04-10";7.1;33.88;45.97;31.82;31.31;29.89;55.65;51.32;110.5;65.79
"2013-04-11";7.19;33.57;46.23;31.8;31.7;29.79;55.73;51.3;110.5;65.92
"2013-04-12";7.17;33.2;45.43;31.37;31.7;29.91;55.86;51.29;110.18;65.52
"2013-04-15";6.94;32.3;44.43;30.25;30.54;29.25;54.65;49.17;106.52;62.51
"2013-04-16";7.13;32.57;45.11;30.68;31.17;29.75;55.66;50.16;109.07;63.17
"2013-04-17";7.02;31.81;44.89;30.11;30.47;29.12;54.95;49.03;107.64;62.53
"2013-04-18";6.95;31.24;44.53;31.28;29.96;28.84;54.94;48.63;105.73;61.86
"2013-04-19";7.02;30.86;44.65;31.18;30.47;28.99;55.88;48.67;107.31;62.36
"2013-04-22";7.1;31.23;45.16;31.56;30.8;29.12;55.88;48.79;108.79;62.75
"2013-04-23";7.06;31.51;45.81;31.5;31.34;29.12;56.15;49.74;109.5;64.03
"2013-04-24";6.96;32.36;45.71;32.13;31.32;29.2;56.42;50.16;109.08;62.06
"2013-04-25";7.04;32.35;45.63;32.6;31.57;29.2;56.26;50.41;109.22;62.52
"2013-04-26";6.92;31.19;45.8;32.73;30.57;29.11;55.97;49.93;107.25;62.1
"2013-04-29";6.86;31.3;45.99;33.13;30.33;29.63;56.74;50.24;108.44;62.8
"2013-04-30";6.66;32.05;46.28;33.35;30.25;29.82;56.88;50.68;108.41;63.38
"2013-05-01";6.41;31.16;46.62;32.88;29.62;29.4;56.42;49.42;106.17;62.13
"2013-05-02";6.54;31.52;46.77;33.05;30.12;29.16;57.14;50.34;107.94;62.79
"2013-05-03";6.67;32.07;46.78;33.62;30.81;29.26;57.71;51.42;110.77;63.8
"2013-05-06";6.7;32.13;46.96;34.34;30.59;28.93;56.43;51.86;111.19;64.29
"2013-05-07";6.76;32.01;47.03;34.64;31.03;29.06;56.81;52.95;112.69;64.99
"2013-05-08";6.69;33.01;47.06;35.45;31.2;28.9;56.29;53.01;113.33;65.06
"2013-05-09";6.81;32.9;46.83;34.55;31.1;28.33;55.28;52.92;112.08;64.49
"2013-05-10";6.92;32.86;46.66;34.44;31.41;27.89;55.29;53.19;110.84;64.99
"2013-05-13";6.9;32.24;46.44;34.57;31.54;28.14;55.13;52.94;111.14;64.67
"2013-05-14";6.96;32.11;47.15;34.51;31.83;28.43;55.71;54;111.96;65.56
"2013-05-15";7.13;33.06;46.53;34.31;32.01;28.92;56.68;54.74;111.42;66.19
"2013-05-16";7.01;33.15;46.66;34.57;31.65;28.93;56.14;54.37;112.14;66.05
"2013-05-17";7.16;33.55;47.28;34.77;32.08;29.15;56.89;54.98;115.57;65.99
"2013-05-20";7;32.92;47.18;35.26;31.78;29.14;56.89;55.31;114.63;65.9
"2013-05-21";6.94;32.98;47.3;35.12;31.71;29.37;57.12;55.03;114.31;65.66
"2013-05-22";6.89;32.71;46.88;35;31.13;28.87;55.9;54.2;112.03;64.36
"2013-05-23";6.97;33.01;46.87;34.62;31.28;28.67;55.2;53.74;114.61;64.97
"2013-05-24";6.93;32.74;47;34.59;30.96;28.46;54.71;53.38;113.65;65.16
"2013-05-28";6.88;32.85;46.78;35.39;31.19;28.78;55.08;53.75;114.05;65.66
"2013-05-29";6.72;32.96;47.9;35.61;30.36;28.04;54.47;53.56;112.26;64.98
"2013-05-30";6.72;33.73;48.6;35.93;30.39;28.4;54.37;53.99;112.8;65.18
"2013-05-31";6.61;33.43;47.86;35.12;30.02;28.11;53.77;53.62;111.81;64.1
"2013-06-03";6.57;33.31;48.04;35.71;29.74;28.8;53.79;53.72;112.6;64.19
"2013-06-04";6.39;33.23;47.52;35.68;29.44;28.38;52.92;53.24;112.86;64.49
"2013-06-05";6.17;32.94;47.03;35.06;29.03;28.21;52.35;52.67;112.26;63.78
"2013-06-06";6.55;32.57;47.04;35.07;29.56;28.69;53.05;52.88;113.11;63.9
"2013-06-07";6.5;32.99;47.15;35.43;29.89;28.97;53.32;53.62;115.26;65.13
"2013-06-10";6.54;33.09;47.58;35.36;29.9;28.89;53.51;53.58;116.61;65.44
