"";"OPK";"AVT";"GPN";"SDRL";"LEG";"ITC";"TEG";"IEX";"CSGP";"CSL"
"2010-04-07";2.02;30.4;43.86;16.42;17.51;17.01;37.87;30.8;43.01;36.13
"2010-04-08";2.03;29.83;43.31;16.35;17.63;16.8;37.56;30.67;42.8;35.72
"2010-04-09";2.05;30.4;42.93;16.78;17.81;16.8;37.58;30.94;42.74;35.51
"2010-04-12";2.16;30.34;43.58;17.14;17.75;16.96;37.76;31.23;42.97;35.4
"2010-04-13";2.32;30.5;43.21;16.68;17.76;17.03;37.8;31.47;43.29;35.74
"2010-04-14";2.36;31.65;43.91;17.24;18.01;16.95;38.31;31.7;44.33;36.46
"2010-04-15";2.33;31.58;45.27;17.89;18.1;16.92;38.53;31.84;45.02;36.4
"2010-04-16";2.35;31.17;45.51;17.19;17.95;16.76;38.07;31.5;45.31;36.07
"2010-04-19";2.28;30.83;45.49;16.79;17.99;16.51;38.06;30.98;45.19;36.12
"2010-04-20";2.31;31.28;45.01;17.48;18.41;16.51;38.25;31.56;45.95;36.65
"2010-04-21";2.29;31.53;45.13;17.33;18.82;16.59;38.61;32.07;45.73;36.85
"2010-04-22";2.25;31.56;44.9;17.91;19.36;16.6;38.97;32.24;45.34;37.92
"2010-04-23";2.22;32.11;45.55;18.21;19.49;17;39.51;32.14;45.14;38.23
"2010-04-26";2.23;31.8;44.94;18.31;19.6;16.99;39.41;32.31;44.9;38.74
"2010-04-27";2.18;31.34;44.24;17.45;19.34;16.82;38.73;31.67;44.71;37.03
"2010-04-28";2.16;31.91;44.07;17.33;19.84;16.9;39.31;31.43;44.27;36.66
"2010-04-29";2.21;32.77;43.93;17.6;20.14;17.01;39.6;31.94;45;36.17
"2010-04-30";2.16;31.28;42.47;16.62;19.95;16.9;39.06;31;43.95;35.11
"2010-05-03";2.22;31.72;42.88;17.12;20.35;16.98;39.67;31.75;44.38;36.2
"2010-05-04";2.2;30.09;42.53;16.12;19.82;16.57;39.32;30.64;43.63;36.06
"2010-05-05";2.09;29.45;42.66;15.72;19.39;16.18;38.9;30.81;42.9;35.48
"2010-05-06";1.88;27.84;42.58;14.58;18.68;15.57;37.67;29.46;42.36;34.83
"2010-05-07";1.87;26.9;40.16;14.38;18.07;15.22;36.43;28.49;40.81;33.96
"2010-05-10";2.03;29.03;41.28;15.68;19.4;15.9;37.81;30.35;42.31;36.28
"2010-05-11";2.04;28.89;40.83;15.36;19.63;15.9;38.24;30.42;42.71;36.24
"2010-05-12";2.2;29.19;41.65;15.5;20.03;15.97;38.73;31.11;43.83;37.66
"2010-05-13";2.17;29.47;42.54;15.39;19.77;16.04;38.51;31.18;43.92;37.66
"2010-05-14";2.11;28.61;41.3;15.04;19.58;15.89;38.11;30.24;44.2;37.55
"2010-05-17";2.16;28.69;42.03;14.79;19.66;16.04;38.36;30.42;43.9;37.71
"2010-05-18";2.16;27.81;42.2;14.65;19.38;15.89;38.01;30;43.85;37.22
"2010-05-19";2.12;27.76;42.02;14.15;19.19;15.66;37.6;29.21;43.27;36.44
"2010-05-20";1.98;26.77;40.72;13.42;18.33;15.03;36.17;27.73;41.76;35.17
"2010-05-21";2.03;27.59;41.72;14.17;18.54;15.03;36.2;27.76;41.58;35.62
"2010-05-24";2.03;26.91;40.99;13.71;18.26;14.9;36.13;27.68;40.62;35.69
"2010-05-25";1.99;26.79;40.88;14.04;18.31;14.85;35.76;27.4;39.91;35.21
"2010-05-26";1.96;26.7;40.92;14.44;18.27;15.66;35.38;27.6;40.03;35.54
"2010-05-27";2.05;28.48;41.99;14.25;19.14;16.1;36.08;28.68;41.09;36.89
"2010-05-28";1.98;28.1;41.88;13.61;18.93;16.06;36.15;28.18;40.77;36.33
"2010-06-01";1.97;26.72;41.13;12.71;18.7;15.64;35.31;27.57;40.42;36.46
"2010-06-02";2.06;27.17;41.27;13.68;19.09;15.92;36.08;28.4;41.38;37.17
"2010-06-03";2.06;27.29;41.99;13.95;19.1;16.21;36.13;29.08;41.94;37.38
"2010-06-04";1.97;26.01;40.57;13.4;18.19;15.7;34.64;27.42;40.74;35.83
"2010-06-07";1.88;25;39.76;13.08;17.6;15.62;34.44;26.81;39.5;34.77
"2010-06-08";1.91;25.07;39.8;12.94;17.83;15.77;34.75;26.73;39.28;35.16
"2010-06-09";1.93;25.26;39.71;12.63;17.91;15.79;34.57;26.78;39.45;34.72
"2010-06-10";2.01;25.82;41.18;13.71;18.66;16.16;35.61;28.01;40.41;35.9
"2010-06-11";2.03;26.41;41.26;13.69;18.71;16.09;35.71;28.46;40.64;36.32
"2010-06-14";2.07;26.33;41.15;14.17;18.75;16.12;35.61;28.91;40.47;36.21
"2010-06-15";2.13;27.29;42.33;14.57;19.16;16.35;36.55;29.98;41.08;37.34
"2010-06-16";2.12;27.26;42.24;14.26;18.99;16.42;36.9;29.65;41;37.04
"2010-06-17";2.13;27.39;42.25;13.94;18.57;16.58;37.5;29.29;41.06;37.09
"2010-06-18";2.19;27.32;42.3;14.01;18.52;16.71;37.38;29.13;41;37.29
"2010-06-21";2.15;27.31;38.6;14.11;18.52;16.67;37.12;29.02;40.59;36.75
"2010-06-22";2.17;26.46;39.11;13.84;18.08;16.29;36.31;28.14;40.46;36.27
"2010-06-23";2.03;26.3;38.62;13.79;17.86;16.33;35.58;28.09;40.24;35.74
"2010-06-24";2.2;25.24;37.87;13.42;17.39;16.25;35.59;28.16;40.17;35.71
"2010-06-25";2.55;25.21;38.37;13.36;17.65;16.31;35.71;28.28;40.77;35.87
"2010-06-28";2.29;25.4;38.31;13.08;17.6;16.47;35.94;27.83;40.94;35.47
"2010-06-29";2.24;24.09;36.91;12.25;16.81;16.28;35.04;26.67;39.25;34.33
"2010-06-30";2.26;23.59;36.27;12.37;16.5;16.12;34.96;26.36;38.8;33.76
"2010-07-01";2.15;23.42;35.83;12.5;16.16;15.86;34.67;26.02;38.73;33.37
"2010-07-02";2.2;23.47;35.9;12.92;16.05;15.95;34.86;25.7;38.15;33.12
"2010-07-06";2.23;23.25;35.98;13.38;15.9;16.15;35.27;25.81;37.66;32.88
"2010-07-07";2.31;24.58;37.15;14;16.67;16.58;36.61;26.53;38.44;33.94
"2010-07-08";2.37;24.62;36.82;14.04;16.8;16.68;36.9;26.75;39.1;34.62
"2010-07-09";2.4;24.59;37.32;13.71;16.98;16.64;37.1;27.02;39.19;34.85
"2010-07-12";2.37;24.73;37.28;13.98;16.81;16.62;37.24;27.14;38.73;34.25
"2010-07-13";2.49;25.09;37.98;14.66;17.2;16.6;37.5;28.24;40.13;35.07
"2010-07-14";2.47;25.24;38.11;14.72;17.08;16.63;37.54;28.22;40.43;34.63
"2010-07-15";2.41;25.2;37.96;14.47;16.99;16.58;37.58;28.07;40.21;35.04
"2010-07-16";2.32;24.22;36.68;14.09;16.45;16.46;36.45;26.86;39.33;33.69
"2010-07-19";2.39;24.7;36.96;14.13;16.61;16.64;36.86;27.61;39.9;33.57
"2010-07-20";2.34;24.62;37.11;14.23;16.81;16.91;37.54;28.41;40.16;34.11
"2010-07-21";2.36;24.14;37.11;14.15;16.9;16.77;36.82;28.85;39.73;33.82
"2010-07-22";2.39;25.09;38.5;14.85;17.54;17.01;37.82;29.49;42.42;35.15
"2010-07-23";2.37;25.42;39.39;15.04;17.58;17.33;38.15;30.07;44.24;36.25
"2010-07-26";2.44;26.5;39.77;15.36;18.17;17.46;38.69;30.27;45.19;36.58
"2010-07-27";2.54;26.32;39.64;15.41;17.61;17.78;39.28;29.73;45.2;31.88
"2010-07-28";2.47;25.56;36.28;15.49;17.11;17.64;38.98;29.35;44.59;32
"2010-07-29";2.45;25.06;37.12;15.64;17.08;17.37;38.38;29.49;43.51;31.35
"2010-07-30";2.49;24.61;37.45;15.85;17.14;17.29;37.85;29.83;43.83;31.47
"2010-08-02";2.49;25.24;38.25;16.71;17.45;17.81;38.64;30.4;44.59;32.34
"2010-08-03";2.56;25.31;38.01;16.79;17.18;17.92;38.87;30.22;44.08;31.19
"2010-08-04";2.6;25.59;37.95;16.84;17.47;17.67;39.01;30.46;44.45;31.04
"2010-08-05";2.59;25.56;37.87;16.9;17.39;17.79;39.52;30.61;43.85;30.64
"2010-08-06";2.54;25.68;38.31;16.78;17.33;17.73;39.27;30.5;43.76;30.6
"2010-08-09";2.6;25.77;38.85;16.65;17.63;17.81;39.69;30.7;44.91;30.77
"2010-08-10";2.53;25.17;38.51;16.44;17.18;17.79;40.02;30.28;44.17;29.57
"2010-08-11";2.28;24.62;37.63;15.42;16.57;17.48;38.83;29.21;42.74;28.54
"2010-08-12";2.26;23.89;37.22;15.39;16.37;17.41;38.44;28.94;42.63;27.96
"2010-08-13";2.17;23.29;36.94;15.49;16.19;17.62;38.72;28.69;42.21;28.39
"2010-08-16";2.4;23.42;37.09;15.68;16.19;17.27;38.86;28.58;42.28;28.45
"2010-08-17";2.37;23.68;37.46;15.86;16.51;17.45;39.45;29.29;42.82;28.7
"2010-08-18";2.26;24.11;37.73;15.83;16.62;17.3;39.33;29.82;42.61;28.8
"2010-08-19";2.24;23.94;37.34;15.69;16.2;17.1;38.93;29;41.81;28.18
"2010-08-20";2.2;23.65;37.63;15.51;16.11;17.58;39.11;29.02;41.76;28.09
"2010-08-23";2.2;23.26;37.2;15.65;16.04;17.79;38.98;28.76;41.35;27.7
"2010-08-24";2.12;22.76;37.14;15.36;15.69;17.85;39.19;27.94;41.62;27.38
"2010-08-25";2.15;22.39;37.43;15.18;15.97;18.06;39.44;28.01;41.76;27.75
"2010-08-26";2.15;22.37;37.52;15.01;15.64;17.94;39.47;27.75;41.58;27.34
"2010-08-27";2.19;23.25;38.09;15.86;16.02;18.06;39.92;28.46;42.99;27.72
"2010-08-30";2.1;22.68;37.67;15.96;15.72;17.77;39.23;27.69;41.82;27.14
"2010-08-31";2.07;22.41;37.37;15.69;15.77;17.76;39.27;27.63;41.27;26.36
"2010-09-01";2.14;23.59;38.52;16.74;16.53;18.15;40.5;29;42.77;27.58
"2010-09-02";2.14;24.23;38.79;17.39;16.93;18.19;40.25;29.88;43.41;27.83
"2010-09-03";2.14;24.92;39.23;17.48;17.31;18.27;40.69;30.37;44.02;28.39
"2010-09-07";2.08;23.77;38.58;17;17.13;18.24;40.68;29.99;42.78;27.39
"2010-09-08";2.1;23.7;38.75;17.18;17.24;18.2;40.01;30.2;43.3;27.56
"2010-09-09";2.1;24.33;39.3;17.48;17.43;18.4;40.36;30.33;43.8;27.55
"2010-09-10";2.09;24.38;39.62;17.68;17.59;18.61;40.3;30.46;43.88;28.01
"2010-09-13";2.08;25.02;40.27;18.04;17.84;18.81;40.78;31.2;45.14;28.18
"2010-09-14";2.09;25.14;40.14;17.88;17.81;18.89;41.03;31.09;45.11;28.37
"2010-09-15";2.25;25.41;40.36;17.9;18.02;18.56;41.13;31.2;45.19;27.86
"2010-09-16";2.26;25.49;40.6;17.91;17.89;18.36;40.6;31.48;45.23;27.32
"2010-09-17";2.28;25.28;40.5;18;17.99;18.38;40.5;31.78;45.63;27.54
"2010-09-20";2.43;25.98;41.05;18.57;18.57;18.57;41.19;32.54;47.52;27.83
"2010-09-21";2.41;25.73;40.64;18.72;18.62;18.63;41.04;32.5;47.42;27.82
"2010-09-22";2.31;25.27;40.46;19.13;18.29;18.64;41.12;32.2;46.94;27.57
"2010-09-23";2.34;25.54;40.09;19.09;18.26;18.43;40.62;31.66;46.33;26.54
"2010-09-24";2.28;26.26;41.14;19.63;18.99;18.63;41.66;32.65;48.45;27.14
"2010-09-27";2.17;25.89;41.63;19.42;18.89;19.18;41.99;32.45;48.39;27.25
"2010-09-28";2.22;26.31;41.7;19.31;19.2;19.14;42.36;32.94;49.19;27.62
"2010-09-29";2.23;26.45;42.18;19.77;19.11;19.27;42.27;32.76;49.53;27.97
"2010-09-30";2.24;26.43;42.6;20.11;18.96;19.07;42.19;32.93;48.71;28.14
"2010-10-01";2.29;26.26;41.78;20.3;19.18;19.12;42.4;33.28;49.35;28.55
"2010-10-04";2.23;26.04;41.36;19.91;19.19;18.88;42.17;32.62;48.98;28.24
"2010-10-05";2.34;26.62;41.61;20.39;19.75;18.93;42.93;33.78;49.75;29.16
"2010-10-06";2.34;26.67;41.48;20.73;19.68;18.74;42.66;33.57;49.21;29.35
"2010-10-07";2.31;26.8;41.49;20.42;19.66;18.96;42.73;33.45;49.12;29.32
"2010-10-08";2.46;26.92;41.74;20.43;19.79;19;43.01;33.78;49.31;29.86
"2010-10-11";2.44;27.27;42.05;20.19;19.85;18.91;43.01;33.84;49.06;29.78
"2010-10-12";2.45;27.2;38.63;20.47;19.86;18.98;42.62;33.63;48.86;29.7
"2010-10-13";2.51;27.16;38.49;20.93;20.06;18.98;42.51;34.18;50.28;29.73
"2010-10-14";2.52;27.04;38.33;21.31;19.82;18.81;42.65;34.3;50.74;29.76
"2010-10-15";2.52;27.04;38.63;21.12;19.83;18.89;43.11;34.04;51.76;30.74
"2010-10-18";2.61;27.22;38.8;21.03;19.84;18.97;43.21;34.53;51.8;30.92
"2010-10-19";2.61;26.67;38.11;20.63;19.53;18.87;42.9;33.09;51.06;30.59
"2010-10-20";2.72;27.16;38.15;21.19;19.06;19.01;43.34;33.76;51.55;31.49
"2010-10-21";2.73;27.69;38.18;20.73;19.15;18.83;43.24;33.96;50.65;31.8
"2010-10-22";2.74;28.18;39.03;20.98;17.5;18.69;43.27;33.92;50.04;32.31
"2010-10-25";2.77;28.48;39.57;21.2;16.9;18.78;43.1;34.19;50.41;32.6
"2010-10-26";2.78;28.12;39.59;20.87;17.03;18.73;42.79;33.76;50.25;32.32
"2010-10-27";2.74;28.41;39.03;20.63;17.04;18.85;42.57;33.65;50.05;32.25
"2010-10-28";2.75;29.56;38.74;20.99;16.96;18.86;42.98;33.61;49.96;32.27
"2010-10-29";2.76;29.14;38.69;21.11;16.98;19.18;43.11;33.6;49.66;32.95
"2010-11-01";2.72;29.35;38.69;21.26;16.65;19.01;42.83;33.62;49.18;32.63
"2010-11-02";2.78;29.6;39.41;21.85;16.95;19.17;43.36;34.33;50.37;32.89
"2010-11-03";2.9;29.66;39.39;21.76;16.97;19.09;43.2;34.49;50.42;33.03
"2010-11-04";3.03;30.34;39.96;22.68;17.15;19.22;43.52;35.16;51.82;33.83
"2010-11-05";2.99;30.77;40.05;22.96;17.08;19.24;43.21;35.28;52.91;34.52
"2010-11-08";3.02;30.37;40.65;22.75;16.99;19.14;42.47;35.1;53.35;34.47
"2010-11-09";2.96;30.2;40.6;23.14;16.87;18.85;42.22;34.96;52.65;33.72
"2010-11-10";3.04;30.45;41.15;22.94;16.99;18.72;42.08;35.26;53.78;33.91
"2010-11-11";2.98;30.46;41.11;22.55;17;18.61;41.9;35;52.1;34.37
"2010-11-12";2.87;30.21;40.99;22.19;16.76;18.54;41.44;34.6;51.94;34.25
"2010-11-15";2.91;30.19;40.84;21.98;16.79;18.54;41.72;34.91;51.9;34.19
"2010-11-16";2.91;29.23;40.04;21.33;16.52;18.61;40.95;34.33;51.66;33.47
"2010-11-17";2.84;29.41;39.96;21.81;16.66;18.59;41.03;34.25;51.29;33.48
"2010-11-18";2.91;30.52;40.93;22.45;16.8;18.77;41;34.75;51.51;34.14
"2010-11-19";2.89;30.52;40.78;22.57;16.95;18.61;40.85;34.87;51.49;34.66
"2010-11-22";2.92;30.79;40.77;22.62;16.98;18.73;41.25;34.97;52.28;34.7
"2010-11-23";2.94;30.02;40.21;21.76;16.86;18.67;40.4;34.38;51.68;34.48
"2010-11-24";3.11;31.31;41.05;21.92;17.23;18.72;40.57;35.33;53.01;35.37
"2010-11-26";3.17;31.2;41.3;21.62;17.1;18.75;40.32;35.09;53.06;35.32
"2010-11-29";3.14;30.67;40.94;21.92;17.12;18.64;39.97;34.58;52.94;35.02
"2010-11-30";3.02;29.99;41.3;21.57;17.24;18.65;40.01;34.89;52.74;34.57
"2010-12-01";3.12;31.07;42.03;22.71;17.69;18.74;40.27;35.82;54.34;35.62
"2010-12-02";3.1;31.69;42.09;22.78;17.92;18.72;39.43;36.49;54.51;35.85
"2010-12-03";3.11;32.41;42.49;23.62;18.17;18.73;39.28;36.58;54.58;36.14
"2010-12-06";3.15;32.62;41.89;23.62;18.16;18.6;39.46;36.2;55.37;36.62
"2010-12-07";3.17;32.51;42.74;23.65;18.27;18.54;39.26;36.31;56.68;37.06
"2010-12-08";3.3;32.47;43.13;23.91;18.33;18.49;39.71;36.2;55.75;37.05
"2010-12-09";3.46;32.42;43.76;23.52;18.44;18.6;39.87;36.06;55.43;37.46
"2010-12-10";3.58;32.21;43.82;23.77;18.48;18.77;40.42;36.8;55.84;37.64
"2010-12-13";3.58;32.15;43.69;24.11;18.86;18.86;40.61;36.97;55.21;37.55
"2010-12-14";3.7;32.39;44.03;23.76;18.98;19.07;40.59;37.03;55.07;37.95
"2010-12-15";3.7;31.76;44.15;23.1;18.92;18.88;40.25;36.72;54.8;38.19
"2010-12-16";3.74;32.16;43.63;22.64;19.27;19.02;40.54;36.9;54.5;38.56
"2010-12-17";3.81;32.29;44.44;22.68;19.59;19;40.46;37.21;54.86;38.34
"2010-12-20";3.88;32.2;44.52;23.65;19.41;19.04;40.19;37.19;55.19;38.38
"2010-12-21";3.85;32.04;44.91;23.82;19.42;19.01;40.39;37.29;55.55;38.21
"2010-12-22";3.84;31.86;45.6;23.48;19.48;19.15;40.5;37.24;56.03;38.49
"2010-12-23";3.78;32.02;45.54;23.6;19.37;19.1;40.42;36.9;55.45;38.24
"2010-12-27";3.77;32.43;45.84;23.75;19.52;19.04;40.37;36.77;56;38.6
"2010-12-28";3.68;32.51;46.23;23.7;19.46;19.08;40.36;36.63;56.97;38.25
"2010-12-29";3.73;32.48;45.92;23.67;19.46;19.12;40.29;36.49;57.44;38.54
"2010-12-30";3.71;32.54;46.34;23.74;19.36;19.08;40.1;36.69;57.75;38.32
"2010-12-31";3.67;32.32;45.92;24;19.19;19.09;39.86;36.43;57.56;37.52
"2011-01-03";3.93;32.6;46.49;24.29;19.52;19.26;40.16;37;58.29;38.23
"2011-01-04";3.88;32.41;45.58;23.94;19.42;19.58;40.09;36;58.58;38.06
"2011-01-05";3.87;32.1;45.89;24.04;19.52;19.68;39.64;35.92;58.88;38.41
"2011-01-06";3.96;32.28;45.63;23.86;19.41;19.69;39.61;35.94;58.83;38.08
"2011-01-07";3.98;32.15;47.17;23.74;19.3;19.94;39.69;35.81;58.66;37.88
"2011-01-10";4.09;32.52;47.44;23.58;19.22;20.03;39.27;36.04;59.18;38.36
"2011-01-11";4.01;32.57;47.21;23.72;19.3;20.12;39.53;36.22;59.25;38.74
"2011-01-12";4.03;32.7;47.22;24.38;19.41;20.1;39.49;36.71;58.82;38.96
"2011-01-13";4.03;33.11;46.82;23.92;19.35;19.94;39.21;36.48;58.3;38.58
"2011-01-14";4.01;33.23;46.99;23.97;19.36;19.88;39.41;36.91;59.75;38.49
"2011-01-18";3.85;35.87;47.54;24;19.3;19.75;39.63;37.3;60.02;39.03
"2011-01-19";3.58;34.59;47.41;23.79;19.17;19.86;39.64;36.78;58.26;38.27
"2011-01-20";3.64;34.16;46.73;23.07;19.07;20.01;39.7;35.96;57.33;37.55
"2011-01-21";3.48;34.23;46.28;23.23;18.88;20.02;39.45;35.79;56.76;37.41
"2011-01-24";3.65;34.9;46.89;22.79;19.03;20.13;39.5;36.51;57.19;37.52
"2011-01-25";3.83;34.86;47.22;22.7;19.13;20.19;39.58;36.64;57.36;37.23
"2011-01-26";3.95;34.98;47.15;23.42;19.38;20.46;39.69;37.08;58.25;36.82
"2011-01-27";4.02;34.48;47.34;23.43;19.59;20.65;39.92;37.22;57.84;36.32
"2011-01-28";3.85;34.26;46.52;22.8;19.08;20.24;39.2;36.41;56.3;35.27
"2011-01-31";3.9;34.86;46.94;23.46;19;20.24;39.1;37.08;56.28;35.6
"2011-02-01";3.92;35.78;47.71;24.42;19.36;20.67;39.56;37.78;58.06;36.38
"2011-02-02";3.88;36.14;47.64;24.86;19.28;20.68;39.41;37.71;58.12;36.57
"2011-02-03";3.98;36.13;47.9;24.76;19.1;20.68;39.64;37.57;58.31;36.17
"2011-02-04";3.99;36.13;48.33;24.5;19.03;20.65;39.62;38.07;57.94;36.68
"2011-02-07";4.24;35.84;48.36;25.07;19.18;20.79;39.83;38.56;58.4;40.1
"2011-02-08";4.28;36.1;49.12;24.88;19.39;20.74;39.98;38.5;58.67;40.14
"2011-02-09";4.51;35.84;48.46;24.94;19.28;20.72;40.05;38.52;57.58;39.92
"2011-02-10";4.49;35.54;48.56;25.15;19.41;20.69;40.59;39.24;58.03;39.64
"2011-02-11";4.54;35.61;49.05;25.36;19.93;20.7;40.47;39.43;59.06;39.71
"2011-02-14";4.44;35.83;49.36;26.09;19.65;20.72;40.47;39.31;59.22;40.61
"2011-02-15";4.89;36.01;49.34;25.46;19.41;20.75;40.53;39.07;59.16;40.75
"2011-02-16";4.79;36.04;49.27;25.9;19.81;20.66;40.16;39.16;61.01;41.4
"2011-02-17";4.74;36.13;49.1;26.09;19.82;20.79;40.43;39.21;61.29;42.72
"2011-02-18";4.52;36.18;49.11;25.9;19.92;20.98;40.54;39.38;61.06;43.18
"2011-02-22";4.42;34.66;48.34;25.74;19.41;20.85;40.63;38.23;59.83;40.67
"2011-02-23";4.41;33.3;46.87;26.47;18.87;20.63;39.96;37.23;58.58;39.96
"2011-02-24";4.44;33.14;46.65;26.41;18.92;20.78;40.35;37.18;56.51;40.24
"2011-02-25";4.5;33.75;47.67;26.97;19.34;20.98;40.43;38.39;57.23;40.93
"2011-02-28";4.83;33.48;47.7;27.06;19.45;21.22;40.81;38.55;56.67;40.77
"2011-03-01";4.74;32.62;47.18;26.63;19.19;20.92;40.53;37.98;55.86;40.04
"2011-03-02";4.6;32.87;47.73;27.26;19.62;21.02;41.11;38.18;56.31;40.07
"2011-03-03";4.25;34.48;48.32;27.21;20.11;21.24;41.8;39.32;57.63;41.17
"2011-03-04";3.97;33.45;47.95;26.96;20;21.26;41.43;38.79;57.16;40.41
"2011-03-07";3.69;32.63;47.22;26.48;19.64;21.3;41.58;38.05;56.72;40.13
"2011-03-08";3.84;34.13;48.22;26.91;20.07;21.3;42.08;38.76;57.24;40.52
"2011-03-09";3.59;33.27;48.11;26.35;20.17;21.53;42.46;38.86;57.19;40.08
"2011-03-10";3.53;32.38;46.85;25.12;19.74;21.03;41.79;38.43;55.85;39.77
"2011-03-11";3.75;32.47;46.94;25.7;19.81;21.2;41.86;39.03;56.21;39.67
"2011-03-14";3.79;32;46.51;25.39;19.63;21.04;41.71;38.86;56.21;39.51
"2011-03-15";3.66;31.4;46.4;24.98;19.59;20.96;41.03;38.47;56.69;39.44
"2011-03-16";3.64;31.2;45.63;24.5;19.3;20.73;40.5;38.09;55.96;39.61
"2011-03-17";3.65;31.31;45.64;25.28;19.25;20.64;40.65;38.53;55.58;39.64
"2011-03-18";3.67;31.34;46.09;25.96;19.5;20.62;40.94;38.95;57.48;40.03
"2011-03-21";3.7;32.25;46.77;26.71;20;20.93;41.56;39.81;59.38;41.39
"2011-03-22";3.73;31.86;46.65;26.46;19.86;20.91;41.32;39.34;59.14;40.83
"2011-03-23";3.84;31.95;46.81;26.37;19.96;20.86;41.12;39.17;59.13;40.46
"2011-03-24";3.89;32.76;47.18;26.25;20.21;20.96;41.36;39.61;58.98;40.57
"2011-03-25";3.82;33.11;47.44;26.22;20.26;21.07;41.38;40.21;60.35;40.74
"2011-03-28";3.75;32.79;47.29;26.2;20.19;21.09;41.26;39.82;60.11;40.97
"2011-03-29";3.83;33.23;47.87;26.29;20.46;21.21;41.6;39.99;61.83;41.38
"2011-03-30";3.82;33.28;47.98;26.6;20.98;21.6;42.23;40.11;62.89;41.42
"2011-03-31";3.73;33.36;48.63;26.13;20.9;21.64;42.09;40.81;62.68;42.23
"2011-04-01";3.76;32.92;50.24;26.61;20.62;21.96;42.43;41.55;63.01;42.79
"2011-04-04";3.81;32.88;49.37;26.88;20.66;21.89;42.39;41.73;63.38;43.24
"2011-04-05";3.78;33.12;51.77;26.66;20.2;21.53;42.17;42.22;62.63;43.6
"2011-04-06";3.78;33.47;51.3;26.21;20.14;21.54;42.36;42.34;62.93;43.46
"2011-04-07";3.8;33.98;51.87;26;20.2;21.33;42.01;41.76;62.37;42.87
"2011-04-08";3.75;33.52;52.1;26.27;19.79;21.39;42.01;41.44;61.19;42.59
"2011-04-11";3.7;33.19;52.27;25.4;19.79;21.24;41.47;40.93;61.07;42.42
"2011-04-12";3.68;32.5;51.99;25.17;19.45;21.02;41.16;40.52;60.57;41.7
"2011-04-13";3.65;32.52;52.12;25.4;19.38;21.12;41.23;40.58;60.25;41.66
"2011-04-14";3.7;32.36;51.55;25.22;19.51;21.27;41.35;40.96;60.69;41.46
"2011-04-15";3.74;32.59;51.81;24.98;19.68;21.42;42.19;41.18;61.6;41.34
"2011-04-18";3.83;31.99;51.06;24.31;19.52;21.06;41.69;40.55;60.34;40.1
"2011-04-19";3.81;32.46;51.51;25.11;19.6;20.98;41.4;40.97;59.96;40.67
"2011-04-20";3.84;33.9;51.58;25.9;19.98;21.38;41.94;41.8;61;41.28
"2011-04-21";3.75;34.1;51.49;25.98;20.16;21.54;41.91;43.86;60.83;41.26
"2011-04-25";3.81;33.98;52;25.9;20.2;21.57;42.05;43.85;60;40.74
"2011-04-26";4;34.85;51.54;25.77;20.57;21.83;42.56;44.19;60.25;45.18
"2011-04-27";3.95;35.44;52.38;26.06;20.63;21.95;43.02;43.84;61.38;46.02
"2011-04-28";3.96;35.52;52.7;25.35;20.94;22;43.36;43.71;65.05;46.41
"2011-04-29";3.98;35.54;52.92;25.83;22.43;21.96;43.63;44.04;68.01;46.96
"2011-05-02";3.91;36.25;52.88;25.41;22.33;21.92;43.73;43.71;67.9;47.22
"2011-05-03";3.82;35.86;53.07;24.92;22.31;21.85;44.05;43.14;67.95;46.6
"2011-05-04";3.76;35.66;52.02;24.33;22.23;21.81;43.94;42.37;68.4;46.35
"2011-05-05";3.7;35.51;52.36;23.46;22.06;21.6;43.19;42.07;68.3;46.31
"2011-05-06";3.75;35.63;51.34;23.48;22.29;21.74;44.04;42.36;68.67;47.1
"2011-05-09";3.81;36.08;51.99;24.43;22.31;22.23;44.16;43.04;69.48;47.51
"2011-05-10";3.85;36.48;52.86;25;22.5;22.69;44.66;43.24;70.75;47.91
"2011-05-11";3.76;36.39;52.58;24.02;22.13;22.73;44.39;42.76;70.7;47.01
"2011-05-12";3.8;37;52.72;23.99;22.29;22.99;44.78;42.93;72.84;46.91
"2011-05-13";3.74;36.41;52.16;23.66;22.16;23.06;44.91;41.9;71.75;46.44
"2011-05-16";3.65;36.07;51.85;24.01;22.23;22.73;44.33;41.7;70;46.11
"2011-05-17";3.67;34.61;51.53;24.03;22.27;22.6;44.67;40.95;68.87;44.95
"2011-05-18";3.75;36.33;52.61;25.2;22.35;22.81;44.63;42;68.58;46.29
"2011-05-19";3.8;36.22;52.93;25.3;22.48;22.85;44.9;42.04;68.52;46.38
"2011-05-20";3.75;35.73;52.47;25.38;22;22.73;44.72;41.84;67.73;45.8
"2011-05-23";3.75;34.43;51.31;24.69;21.74;22.35;44.02;41.13;64.6;44.83
"2011-05-24";3.7;33.98;51.45;25.19;21.69;22.22;43.95;40.98;63.62;44.53
"2011-05-25";3.75;34.12;50.54;25.38;21.67;22.34;43.71;41.32;61.53;45.37
"2011-05-26";3.8;34.4;51.55;25.8;21.81;22.26;43.81;41.42;62.75;45.44
"2011-05-27";3.77;34.78;51.56;25.77;21.83;22.4;43.88;41.94;63.16;45.94
"2011-05-31";3.76;35.42;51.67;26.07;22.04;22.49;44.19;42.55;63.1;46.23
"2011-06-01";3.56;34.21;50.85;25.72;21.44;22.04;43.37;40.94;61.02;44.15
