"";"AAPL";"AXP";"BA";"CAT";"CSCO";"CVX";"DD";"DIS";"GE";"GS";"HD";"IBM";"INTC";"JNJ";"JPM";"KO";"MCD";"MMM";"MRK";"MSFT";"NKE";"PFE";"PG";"TRV";"UNH";"UTX";"V";"VZ";"WMT";"XOM"
"2010-02-10";26,29261;35,0883;53,08048;46,82166;21,37228;59,21109;27,52289;28,06507;13,17729;143,7155;25,18767;111,32841;16,63047;52,87066;34,41314;23,072;53,45794;69,03815;29,5017;24,3665;29,11755;14,7058;52,28576;43,36985;30,33989;58,99109;20,12979;20,89945;46,79079;56,88512
"2010-02-11";26,77097;35,59023;54,01657;49,46446;21,5252;60,03126;27,66739;28,18656;13,24448;144,1084;25,48658;112,16241;16,94298;53,02237;34,54594;23,25644;53,91434;70,48706;30,05587;24,47967;29,26165;14,81357;52,53163;43,81498;30,72018;59,05305;20,4908;21,02251;46,65017;57,22722
"2010-02-12";27,00139;35,71106;53,17855;49,50851;21,37228;59,99746;27,43789;28,10245;13,05971;143,99614;25,49537;112,40717;17,25549;52,86224;34,48397;23,1535;53,7453;69,52991;30,08847;24,31427;29,04782;14,75554;52,36206;44,03318;29,84829;58,15013;20,40416;20,94288;46,49198;56,84127
"2010-02-16";27,40834;36,82645;54,61388;50,31896;21,58816;61,67039;27,82889;28,47627;13,47124;147,2422;25,8822;113,52218;17,50042;53,61235;35,47555;23,5138;54,10028;70,66269;30,69154;24,79531;29,58703;14,68922;53,26924;45,04564;29,33814;58,71667;20,66889;21,12386;47,07203;58,13949
"2010-02-17";27,2938;36,29663;55,11312;50,65372;21,65113;61,54365;28,16039;28,84076;13,56362;147,11124;26,3921;114,51933;17,44975;53,9242;35,44899;23,73255;54,31157;70,83504;30,43076;25,00521;29,97285;14,64778;53,2862;45,16784;30,19148;60,00406;20,79886;21,0949;47,51146;57,68336
"2010-02-18";27,34501;36,38959;56,06704;50,92681;21,84002;62,20269;28,57689;28,99029;13,63921;145,67998;26,63827;115,86096;17,60178;54,38775;35,77656;23,98133;54,49752;71,69242;30,39001;25,33756;29,95426;14,69751;53,74403;46,03192;30,32133;60,68117;20,92882;21,10214;46,99293;57,8588
"2010-02-19";27,17522;36,30593;56,69109;51,31442;21,91199;62,56601;28,92539;29,18655;13,58042;146,10094;26,50639;115,29893;17,58489;54,19242;35,44013;23,89984;54,71726;72,05481;30,553;25,16264;29,91242;14,91304;53,7949;46,15411;29,62568;61,04645;20,89272;21,00803;47,01051;57,77985
"2010-02-22";27,00678;36,1851;57,02987;51,12061;21,85801;61,64504;28,88289;29,08375;13,64761;146,59674;26,65585;114,99072;17,62712;53,92065;36,16611;23,754;54,74261;71,31235;30,25146;25,12766;29,89383;14,87989;53,76946;46,29376;30,68308;60,93954;20,91679;20,99355;47,30932;57,36758
"2010-02-23";26,55402;35,25561;55,96006;49,91373;21,63314;60,86772;28,62789;28,89683;13,39565;146,58737;27,03388;114,63718;17,2217;53,76778;35,30733;23,51809;54,82714;70,45497;29,75433;24,77781;29,81016;14,64778;53,59142;45,70025;30,43264;60,39607;20,72666;20,80533;47,12476;56,96407
"2010-02-24";27,03912;35,70176;56,59303;50,17801;21,894;61,12119;28,88289;29,33608;13,53843;148,1122;27,57017;115,66153;17,48353;53,88668;36,16611;23,65964;55,15676;70,77317;30,09662;25,0402;30,18203;14,76383;54,16794;46,07556;31,18395;61,13554;20,60872;20,9646;47,38842;57,49915
