"";"AAPL";"AXP";"BA";"CAT";"CSCO";"CVX";"DD";"DIS";"GE";"GS";"HD";"IBM";"INTC";"JNJ";"JPM";"KO";"MCD";"MMM";"MRK";"MSFT";"NKE";"PFE";"PG";"TRV";"UNH";"UTX";"V";"VZ";"WMT";"XOM";"GSPC"
"2014-03-20";73,81378;90,36755;120,07262;92,79104;21,01214;111,42883;64,8266;79,79579;24,39728;167,06372;78,44389;181,79094;24,529;91,59869;58,15867;37,31724;93,3636;129,33939;53,92721;39,26999;78,32961;30,55765;75,35042;81,41651;80,23306;111,35447;55,03889;44,64314;73,10909;91,93161;18,7647
"2014-03-21";74,39598;90,2;118,95661;93,9291;20,82926;111,54459;65,21606;79,34157;24,52279;164,82265;78,76711;180,60094;24,27821;93,3602;58,21672;37,30753;92,27146;130,01329;53,02503;39,10445;74,31777;30,81621;74,9271;81,95453;80,04607;112,13749;55,42348;44,35945;73,8074;91,66917;18,7741
"2014-03-24";75,27833;89,69736;119,77178;93,40829;20,76188;111,75681;64,73896;78,49236;24,53245;163,60832;78,02274;182,12956;24,22998;92,64975;59,08751;37,26871;92,95768;129,32962;52,17135;39,43552;73,97192;30,15545;76,29327;82,03278;79,98703;111,3349;54,7734;44,45401;74,44753;91,98993;18,8211
"2014-03-25";76,08809;89,52981;120,35404;95,08646;21,50303;112,953;65,45948;78,55161;24,81243;161,1698;77,83664;188,69881;24,55793;94,77135;58,95205;37,48223;92,69672;130,93135;53,53918;39,27972;72,77628;30,47146;76,78392;82,19908;79,80989;112,75411;54,1903;44,6526;74,55421;92,25237;18,8023
"2014-03-26";75,3607;88,36683;119,87853;94,32454;21,48378;113,55109;64,75844;77,63329;24,7352;159,66916;77,24897;186,35748;24,48077;94,4502;57,95549;37,47253;92,62907;129,98399;54,34435;38,74418;72,35138;30,81621;76,48568;81,61215;80,2429;112,14728;53,51541;44,45401;73,93349;92,04825;18,9655
"2014-03-27";75,0368;88,69206;119,56799;94,95143;21,19502;113,5125;64,81686;77,49504;24,91863;160,22202;77,06287;183,6582;24,41325;94,67403;57,97484;37,67634;92,93835;129,73982;54,06302;38,32548;72,4502;30,7396;76,62999;81,67085;79,73116;111,38384;53,53774;45,09704;73,8462;93,54512;18,9057
"2014-03-28";74,95303;89,15529;120,78104;95,85803;21,49341;114,31319;64,86555;77,99863;24,98621;160,2319;77,10205;184,25804;24,71227;94,82975;58,09095;37,80251;93,98216;131,06808;54,30555;39,24077;72,66758;30,52892;76,73582;82,15995;80,32162;112,37239;52,62464;44,84172;73,72012;94,96424;19,0092
"2014-03-31";74,93627;88,73149;121,78059;95,83875;21,58004;114,7087;65,3329;79,06509;24,99587;161,76216;77,50362;186,23172;24,89553;95,59859;58,73919;37,52105;94,7457;132,49402;55,07192;39,91264;72,98379;30,75875;77,54397;83,24577;80,68574;114,35929;53,56007;44,98357;74,12746;94,9448;18,9528
"2014-04-01";75,62178;89,85505;124,4202;96,2631;22,4246;114,79552;65,97552;80,54626;24,97656;163,80577;77,74848;188,17636;25,06916;95,31636;58,70049;37,27842;94,62005;133,3437;54,68388;40,33133;73,5075;30,59595;77,29382;82,55123;80,53812;115,41636;53,27224;45,15378;74,45721;94,99341;19,028
"2014-04-02";75,74743;89,32149;124,51723;98,98289;22,31782;115,13315;66,32604;80,645;25,14069;165,13858;78,30676;187,25726;24,9727;95,59859;58,88549;37,20078;94,32043;132,82608;54,77119;40,26317;73,65572;30,92155;77,09179;82,80557;80,31178;117,32497;53,26232;45,21997;74,85487;95,20724;19,1221
